"Doanh thu 12 tháng (triệu đồng)"
"Tháng","T7","T8","T9","T10","T11","T12","T1","T2","T3","T4","T5","T6"
"Doanh thu","0.5","0.6","0.6","0.8","0.5","0.7","0.7","0.8","0.6","0.6","0.8","1"

"Điểm phát hành & đổi (điểm)"
"Tháng","T1","T2","T3","T4","T5","T6"
"Phát hành","720","825","600","605","800","1030"
"Đã đổi","300","580","500","320","200","680"

"Phân bố hạng thành viên"
"Bạc","8"
"Vàng","5"
"Kim Cương","2"

"Doanh thu theo cửa hàng (triệu đồng, tháng này)"
"Laboong Linh Đàm","0.5"
"Laboong Victoria Văn Phú","0.5"

"Quà được đổi nhiều nhất (tháng này)"
"Voucher giảm 30.000đ","2"
"Thêm topping trân châu","1"
